"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"hr.hrg.dialog.core.AllocationBenchmark.doubleWrite","thrpt",1,7,14.837368,0.140271,"ops/us"
"hr.hrg.dialog.core.AllocationBenchmark.doubleWrite:gc.alloc.rate","thrpt",1,7,679.074025,6.386986,"MB/sec"
"hr.hrg.dialog.core.AllocationBenchmark.doubleWrite:gc.alloc.rate.norm","thrpt",1,7,48.000469,0.000005,"B/op"
"hr.hrg.dialog.core.AllocationBenchmark.doubleWrite:gc.count","thrpt",1,7,8.000000,NaN,"counts"
"hr.hrg.dialog.core.AllocationBenchmark.doubleWrite:gc.time","thrpt",1,7,11.000000,NaN,"ms"
"hr.hrg.dialog.core.AllocationBenchmark.escapedJsonString","thrpt",1,7,22.508819,0.264972,"ops/us"
"hr.hrg.dialog.core.AllocationBenchmark.escapedJsonString:gc.alloc.rate","thrpt",1,7,0.006615,0.000007,"MB/sec"
"hr.hrg.dialog.core.AllocationBenchmark.escapedJsonString:gc.alloc.rate.norm","thrpt",1,7,0.000308,0.000004,"B/op"
"hr.hrg.dialog.core.AllocationBenchmark.escapedJsonString:gc.count","thrpt",1,7,0.000000,NaN,"counts"
"hr.hrg.dialog.core.AllocationBenchmark.fingerprintConsume","thrpt",1,7,1.774348,0.216625,"ops/us"
"hr.hrg.dialog.core.AllocationBenchmark.fingerprintConsume:gc.alloc.rate","thrpt",1,7,148.890721,18.175079,"MB/sec"
"hr.hrg.dialog.core.AllocationBenchmark.fingerprintConsume:gc.alloc.rate.norm","thrpt",1,7,88.003924,0.000468,"B/op"
"hr.hrg.dialog.core.AllocationBenchmark.fingerprintConsume:gc.count","thrpt",1,7,2.000000,NaN,"counts"
"hr.hrg.dialog.core.AllocationBenchmark.fingerprintConsume:gc.time","thrpt",1,7,3.000000,NaN,"ms"
"hr.hrg.dialog.core.AllocationBenchmark.fingerprintFromTraceReused","thrpt",1,7,1.845382,0.008659,"ops/us"
"hr.hrg.dialog.core.AllocationBenchmark.fingerprintFromTraceReused:gc.alloc.rate","thrpt",1,7,0.006614,0.000008,"MB/sec"
"hr.hrg.dialog.core.AllocationBenchmark.fingerprintFromTraceReused:gc.alloc.rate.norm","thrpt",1,7,0.003759,0.000018,"B/op"
"hr.hrg.dialog.core.AllocationBenchmark.fingerprintFromTraceReused:gc.count","thrpt",1,7,0.000000,NaN,"counts"
"hr.hrg.dialog.core.AllocationBenchmark.fingerprintReusedStream","thrpt",1,7,1.935190,0.012779,"ops/us"
"hr.hrg.dialog.core.AllocationBenchmark.fingerprintReusedStream:gc.alloc.rate","thrpt",1,7,162.383199,1.065423,"MB/sec"
"hr.hrg.dialog.core.AllocationBenchmark.fingerprintReusedStream:gc.alloc.rate.norm","thrpt",1,7,88.003581,0.000047,"B/op"
"hr.hrg.dialog.core.AllocationBenchmark.fingerprintReusedStream:gc.count","thrpt",1,7,2.000000,NaN,"counts"
"hr.hrg.dialog.core.AllocationBenchmark.fingerprintReusedStream:gc.time","thrpt",1,7,3.000000,NaN,"ms"
"hr.hrg.dialog.core.AllocationBenchmark.floatWrite","thrpt",1,7,26.493939,0.431869,"ops/us"
"hr.hrg.dialog.core.AllocationBenchmark.floatWrite:gc.alloc.rate","thrpt",1,7,808.392293,13.168207,"MB/sec"
"hr.hrg.dialog.core.AllocationBenchmark.floatWrite:gc.alloc.rate.norm","thrpt",1,7,32.000263,0.000005,"B/op"
"hr.hrg.dialog.core.AllocationBenchmark.floatWrite:gc.count","thrpt",1,7,10.000000,NaN,"counts"
"hr.hrg.dialog.core.AllocationBenchmark.floatWrite:gc.time","thrpt",1,7,14.000000,NaN,"ms"
