"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"hr.hrg.dialog.logback.ForyPerfEventBenchmark.eventClassicRbo","thrpt",1,7,5.333097,0.129568,"ops/us"
"hr.hrg.dialog.logback.ForyPerfEventBenchmark.eventClassicRbo:gc.alloc.rate","thrpt",1,7,0.006598,0.000050,"MB/sec"
"hr.hrg.dialog.logback.ForyPerfEventBenchmark.eventClassicRbo:gc.alloc.rate.norm","thrpt",1,7,0.001298,0.000037,"B/op"
"hr.hrg.dialog.logback.ForyPerfEventBenchmark.eventClassicRbo:gc.count","thrpt",1,7,0.000000,NaN,"counts"
"hr.hrg.dialog.logback.ForyPerfEventBenchmark.eventNewDirect","thrpt",1,7,14.981073,0.281489,"ops/us"
"hr.hrg.dialog.logback.ForyPerfEventBenchmark.eventNewDirect:gc.alloc.rate","thrpt",1,7,0.006595,0.000053,"MB/sec"
"hr.hrg.dialog.logback.ForyPerfEventBenchmark.eventNewDirect:gc.alloc.rate.norm","thrpt",1,7,0.000462,0.000007,"B/op"
"hr.hrg.dialog.logback.ForyPerfEventBenchmark.eventNewDirect:gc.count","thrpt",1,7,0.000000,NaN,"counts"
"hr.hrg.dialog.core.CursorBufferWriterBenchmark.cursorWriteOps","avgt",1,7,2507.915596,30.841198,"ns/op"
"hr.hrg.dialog.core.CursorBufferWriterBenchmark.cursorWriteOps:gc.alloc.rate","avgt",1,7,0.006607,0.000050,"MB/sec"
"hr.hrg.dialog.core.CursorBufferWriterBenchmark.cursorWriteOps:gc.alloc.rate.norm","avgt",1,7,0.017377,0.000272,"B/op"
"hr.hrg.dialog.core.CursorBufferWriterBenchmark.cursorWriteOps:gc.count","avgt",1,7,0.000000,NaN,"counts"
"hr.hrg.dialog.logback.ForyPerfEventBenchmark.eventClassicRbo","avgt",1,7,0.188741,0.001616,"us/op"
"hr.hrg.dialog.logback.ForyPerfEventBenchmark.eventClassicRbo:gc.alloc.rate","avgt",1,7,0.006615,0.000008,"MB/sec"
"hr.hrg.dialog.logback.ForyPerfEventBenchmark.eventClassicRbo:gc.alloc.rate.norm","avgt",1,7,0.001309,0.000010,"B/op"
"hr.hrg.dialog.logback.ForyPerfEventBenchmark.eventClassicRbo:gc.count","avgt",1,7,0.000000,NaN,"counts"
"hr.hrg.dialog.logback.ForyPerfEventBenchmark.eventNewDirect","avgt",1,7,0.051715,0.000826,"us/op"
"hr.hrg.dialog.logback.ForyPerfEventBenchmark.eventNewDirect:gc.alloc.rate","avgt",1,7,0.006613,0.000026,"MB/sec"
"hr.hrg.dialog.logback.ForyPerfEventBenchmark.eventNewDirect:gc.alloc.rate.norm","avgt",1,7,0.000359,0.000005,"B/op"
"hr.hrg.dialog.logback.ForyPerfEventBenchmark.eventNewDirect:gc.count","avgt",1,7,0.000000,NaN,"counts"
