"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: includeThrowable"
"hr.hrg.dialog.logback.JsonLogWriterBenchmark.writeWithJsonLogWriter","thrpt",1,10,2.929630,0.139708,"ops/us",false
"hr.hrg.dialog.logback.JsonLogWriterBenchmark.writeWithJsonLogWriter:gc.alloc.rate","thrpt",1,10,268.151326,12.787549,"MB/sec",false
"hr.hrg.dialog.logback.JsonLogWriterBenchmark.writeWithJsonLogWriter:gc.alloc.rate.norm","thrpt",1,10,96.002350,0.000103,"B/op",false
"hr.hrg.dialog.logback.JsonLogWriterBenchmark.writeWithJsonLogWriter:gc.count","thrpt",1,10,5.000000,NaN,"counts",false
"hr.hrg.dialog.logback.JsonLogWriterBenchmark.writeWithJsonLogWriter:gc.time","thrpt",1,10,9.000000,NaN,"ms",false
"hr.hrg.dialog.logback.JsonLogWriterBenchmark.writeWithJsonLogWriter","thrpt",1,10,0.634510,0.019666,"ops/us",true
"hr.hrg.dialog.logback.JsonLogWriterBenchmark.writeWithJsonLogWriter:gc.alloc.rate","thrpt",1,10,58.081684,1.801603,"MB/sec",true
"hr.hrg.dialog.logback.JsonLogWriterBenchmark.writeWithJsonLogWriter:gc.alloc.rate.norm","thrpt",1,10,96.010834,0.000312,"B/op",true
"hr.hrg.dialog.logback.JsonLogWriterBenchmark.writeWithJsonLogWriter:gc.count","thrpt",1,10,1.000000,NaN,"counts",true
"hr.hrg.dialog.logback.JsonLogWriterBenchmark.writeWithJsonLogWriter:gc.time","thrpt",1,10,2.000000,NaN,"ms",true
"hr.hrg.dialog.logback.JsonLogWriterBenchmark.writeWithJsonLogWriterClassic","thrpt",1,10,1.662358,0.118866,"ops/us",false
"hr.hrg.dialog.logback.JsonLogWriterBenchmark.writeWithJsonLogWriterClassic:gc.alloc.rate","thrpt",1,10,862.071738,62.192100,"MB/sec",false
"hr.hrg.dialog.logback.JsonLogWriterBenchmark.writeWithJsonLogWriterClassic:gc.alloc.rate.norm","thrpt",1,10,544.004169,0.000283,"B/op",false
